kernel,n,threads,chunk,reps,mean_s,std_s,metric,unit
poly96,16777216,16,65536,24,1.267173e-02,7.491605e-04,254.2057,GFLOP/s
poly96,16777216,16,262144,20,1.521158e-02,3.534040e-05,211.7614,GFLOP/s
poly96,16777216,28,0,17,1.779771e-02,6.415142e-04,180.9910,GFLOP/s
poly96,16777216,28,4096,34,8.938448e-03,1.889028e-04,360.3786,GFLOP/s
poly96,16777216,28,16384,33,9.100501e-03,2.484023e-04,353.9613,GFLOP/s
poly96,16777216,28,65536,30,1.034592e-02,7.597259e-04,311.3523,GFLOP/s
poly96,16777216,28,262144,27,1.117129e-02,1.428810e-03,288.3487,GFLOP/s
poly96,67108864,16,0,4,9.111994e-02,8.945299e-03,141.4060,GFLOP/s
poly96,67108864,16,4096,7,4.539855e-02,1.256667e-03,283.8175,GFLOP/s
poly96,67108864,16,16384,7,4.458053e-02,5.096040e-04,289.0253,GFLOP/s
poly96,67108864,16,65536,7,4.602733e-02,1.298029e-03,279.9402,GFLOP/s
poly96,67108864,16,262144,7,4.890375e-02,3.348263e-03,263.4747,GFLOP/s
poly96,67108864,28,0,4,7.519919e-02,6.701014e-03,171.3436,GFLOP/s
poly96,67108864,28,4096,9,3.403823e-02,1.821231e-04,378.5421,GFLOP/s
poly96,67108864,28,16384,9,3.367050e-02,3.504172e-04,382.6763,GFLOP/s
poly96,67108864,28,65536,9,3.555899e-02,9.991825e-04,362.3528,GFLOP/s
poly96,67108864,28,262144,8,3.983149e-02,3.187090e-03,323.4853,GFLOP/s
stencil5,262144,16,0,400,1.329333e-04,1.391653e-05,9.8598,GFLOP/s
stencil5,262144,16,4096,400,7.635180e-05,7.773021e-06,17.1666,GFLOP/s
stencil5,262144,16,16384,400,1.305445e-04,3.520588e-06,10.0403,GFLOP/s
stencil5,262144,16,65536,400,1.302042e-04,3.601650e-06,10.0665,GFLOP/s
stencil5,262144,16,262144,400,1.300499e-04,3.884657e-06,10.0784,GFLOP/s
stencil5,262144,28,0,400,1.020748e-04,1.737802e-05,12.8406,GFLOP/s
stencil5,262144,28,4096,400,7.816909e-05,9.704696e-06,16.7675,GFLOP/s
stencil5,262144,28,16384,400,1.008564e-04,5.865859e-06,12.9957,GFLOP/s
stencil5,262144,28,65536,400,1.015227e-04,5.882445e-06,12.9104,GFLOP/s
stencil5,262144,28,262144,400,1.017997e-04,9.027765e-06,12.8753,GFLOP/s
stencil5,1048576,16,0,400,4.741882e-04,1.316855e-05,11.0565,GFLOP/s
stencil5,1048576,16,4096,400,2.102082e-04,1.046414e-05,24.9413,GFLOP/s
stencil5,1048576,16,16384,400,2.416159e-04,2.595581e-05,21.6991,GFLOP/s
stencil5,1048576,16,65536,400,4.672525e-04,3.020521e-05,11.2206,GFLOP/s
stencil5,1048576,16,262144,400,4.663674e-04,3.259674e-05,11.2419,GFLOP/s
stencil5,1048576,28,0,400,2.923996e-04,2.045377e-05,17.9305,GFLOP/s
stencil5,1048576,28,4096,400,1.873574e-04,2.342421e-05,27.9832,GFLOP/s
stencil5,1048576,28,16384,400,1.735234e-04,4.359663e-05,30.2141,GFLOP/s
stencil5,1048576,28,65536,400,2.898017e-04,1.129552e-05,18.0912,GFLOP/s
stencil5,1048576,28,262144,400,2.898448e-04,1.085406e-05,18.0885,GFLOP/s
stencil5,4194304,16,0,151,1.998998e-03,1.469620e-04,10.4910,GFLOP/s
stencil5,4194304,16,4096,362,8.303278e-04,3.262815e-05,25.2569,GFLOP/s
stencil5,4194304,16,16384,367,8.184350e-04,5.433208e-05,25.6239,GFLOP/s
stencil5,4194304,16,65536,306,9.820844e-04,1.875495e-05,21.3541,GFLOP/s
stencil5,4194304,16,262144,138,2.174348e-03,1.620257e-04,9.6450,GFLOP/s
stencil5,4194304,28,0,221,1.359406e-03,8.290532e-05,15.4270,GFLOP/s
stencil5,4194304,28,4096,396,7.581694e-04,2.424578e-05,27.6607,GFLOP/s
stencil5,4194304,28,16384,396,7.580068e-04,6.147197e-05,27.6666,GFLOP/s
stencil5,4194304,28,65536,328,9.148169e-04,1.386649e-04,22.9243,GFLOP/s
stencil5,4194304,28,262144,263,1.140901e-03,2.989744e-05,18.3815,GFLOP/s
stencil5,16777216,16,0,37,8.301401e-03,8.552973e-04,10.1050,GFLOP/s
stencil5,16777216,16,4096,60,5.010226e-03,1.036407e-04,16.7430,GFLOP/s
stencil5,16777216,16,16384,62,4.886983e-03,1.061168e-04,17.1652,GFLOP/s
stencil5,16777216,16,65536,59,5.105194e-03,1.822790e-04,16.4315,GFLOP/s
stencil5,16777216,16,262144,57,5.341760e-03,1.855031e-04,15.7038,GFLOP/s
stencil5,16777216,28,0,47,6.489123e-03,1.983666e-04,12.9272,GFLOP/s
stencil5,16777216,28,4096,56,5.435040e-03,1.514171e-04,15.4343,GFLOP/s
stencil5,16777216,28,16384,62,4.917347e-03,1.654358e-04,17.0592,GFLOP/s
stencil5,16777216,28,65536,55,5.462505e-03,1.095515e-04,15.3567,GFLOP/s
stencil5,16777216,28,262144,49,6.130881e-03,1.613258e-04,13.6825,GFLOP/s
stencil5,67108864,16,0,10,3.133761e-02,6.217617e-03,10.7074,GFLOP/s
stencil5,67108864,16,4096,15,2.028305e-02,1.511602e-04,16.5431,GFLOP/s
stencil5,67108864,16,16384,16,1.945021e-02,1.199838e-04,17.2514,GFLOP/s
stencil5,67108864,16,65536,16,1.960106e-02,2.224016e-04,17.1187,GFLOP/s
stencil5,67108864,16,262144,15,2.081967e-02,4.711581e-04,16.1167,GFLOP/s
stencil5,67108864,28,0,12,2.564611e-02,9.634750e-04,13.0836,GFLOP/s
stencil5,67108864,28,4096,15,2.099335e-02,2.886341e-04,15.9834,GFLOP/s
stencil5,67108864,28,16384,16,1.984676e-02,2.212071e-04,16.9068,GFLOP/s
stencil5,67108864,28,65536,15,2.004486e-02,2.620616e-04,16.7397,GFLOP/s
stencil5,67108864,28,262144,15,2.100711e-02,5.950382e-04,15.9729,GFLOP/s
sumred,262144,16,0,400,2.148549e-05,2.969033e-06,24.4020,GFLOP/s
sumred,262144,16,4096,400,2.380983e-05,1.500583e-06,22.0198,GFLOP/s
sumred,262144,16,16384,400,2.098587e-05,1.688352e-06,24.9829,GFLOP/s
