kernel,site,ms,std
prange,targets:get_process_triple<-codegen:_create_empty_module,0.18,0.01
prange,module:parse_assembly<-types:_get_ll_global_value_type,0.18,0.01
prange,context:get_global_context<-module:parse_assembly,0.16,0.0
prange,module:parse_assembly<-codegen:__init__,0.15,0.01
prange,value:name<-codegen:_verify_declare_only_symbols,0.15,0.01
prange,targets:create_target_machine<-codegen:_init,0.14,0.01
prange,module:parse_assembly<-codegen:_check_llvm_bugs,0.13,0.01
prange,initfini:initialize_native_target<-codegen:initialize_llvm,0.13,0.01
prange,dylib:add_symbol<-externals:_do_install,0.12,0.0
prange,value:name<-codegen:_load_defined_symbols,0.12,0.0
prange,module:__str__<-codegen:_check_llvm_bugs,0.12,0.0
prange,newpassmanagers:_dispose<-codegen:add_llvm_module,0.1,0.0
prange,value:is_declaration<-codegen:_get_module_for_linking,0.1,0.0
prange,value:name<-codegen:_finalize_dynamic_globals,0.09,0.0
prange,value:linkage<-codegen:_get_module_for_linking,0.08,0.0
prange,value:name<-codegen:scan_unresolved_symbols,0.08,0.0
prange,dylib:add_symbol<-nrt:initialize,0.07,0.0
prange,module:data_layout<-codegen:_optimize_functions,0.06,0.0
prange,value:name<-codegen:scan_defined_symbols,0.06,0.0
prange,targets:get_host_cpu_features<-codegen:get_host_cpu_features,0.06,0.0
prange,newpassmanagers:add_refprune_pass<-codegen:_module_pass_manager,0.05,0.0
prange,module:name<-codegen:add_ir_module,0.05,0.0
prange,module:get_function<-codegen:_get_module_for_linking,0.04,0.0
prange,module:_dispose<-types:_get_ll_global_value_type,0.04,0.0
prange,targets:get_abi_size<-types:get_abi_size,0.04,0.0
prange,module:get_global_variable<-types:_get_ll_global_value_type,0.04,0.0
prange,value:name<-codegen:_get_module_for_linking,0.04,0.0
prange,newpassmanagers:add_loop_rotate_pass<-codegen:_module_pass_manager,0.03,0.0
prange,module:functions<-codegen:_optimize_functions,0.03,0.0
prange,module:_dispose<-codegen:_optimize_functions,0.03,0.0
prange,value:global_value_type<-types:_get_ll_global_value_type,0.03,0.0
prange,module:name<-codegen:__init__,0.03,0.0
prange,newpassmanagers:add_jump_threading_pass<-codegen:_module_pass_manager,0.03,0.0
prange,newpassmanagers:add_instruction_combine_pass<-codegen:_module_pass_manager,0.03,0.0
prange,module:_dispose<-codegen:finalize,0.03,0.0
prange,executionengine:add_module<-codegen:add_module,0.02,0.0
prange,dylib:add_symbol<-parallel:_launch_threads,0.02,0.0
prange,dylib:add_symbol<-parallel:_load_threading_functions,0.02,0.0
prange,module:global_variables<-codegen:_finalize_dynamic_globals,0.02,0.0
prange,dylib:add_symbol<-hashing:inject,0.02,0.0
prange,newpassmanagers:set_time_passes<-llvm_pass_timings:__exit__,0.02,0.0
prange,module:_dispose<-codegen:_load_defined_symbols,0.02,0.0
prange,module:functions<-codegen:_verify_declare_only_symbols,0.02,0.0
prange,module:_dispose<-codegen:_verify_declare_only_symbols,0.02,0.0
prange,module:_dispose<-codegen:scan_unresolved_symbols,0.02,0.0
prange,module:_dispose<-codegen:_finalize_dynamic_globals,0.02,0.0
prange,executionengine:create_mcjit_compiler<-codegen:_init,0.02,0.0
prange,newpassmanagers:set_time_passes<-llvm_pass_timings:__enter__,0.02,0.0
prange,module:_dispose<-codegen:scan_defined_symbols,0.02,0.0
prange,module:_dispose<-codegen:add_module,0.02,0.0
prange,newpassmanagers:dump_refprune_stats<-typed_passes:run_pass,0.02,0.0
prange,module:functions<-codegen:_load_defined_symbols,0.02,0.0
prange,module:functions<-codegen:scan_defined_symbols,0.02,0.0
prange,module:global_variables<-codegen:scan_unresolved_symbols,0.02,0.0
prange,module:global_variables<-codegen:_load_defined_symbols,0.02,0.0
prange,module:functions<-codegen:_get_module_for_linking,0.02,0.0
prange,module:_dispose<-codegen:_get_module_for_linking,0.01,0.0
prange,executionengine:get_function_address<-codegen:wrapper,0.01,0.0
prange,executionengine:get_global_value_address<-codegen:wrapper,0.01,0.0
prange,targets:from_triple<-codegen:_init,0.01,0.0
prange,targets:get_host_cpu_name<-codegen:_get_host_cpu_name,0.01,0.0
prange,targets:get_process_triple<-codegen:_init,0.01,0.0
prange,targets:get_default_triple<-targets:from_default_triple,0.01,0.0
prange,module:get_function<-codegen:get_function,0.01,0.0
prange,targets:__str__<-codegen:_init,0.01,0.0
prange,targets:from_triple<-targets:from_default_triple,0.01,0.0
prange,executionengine:__init__<-executionengine:set_object_cache,0.0,0.0
prange,executionengine:set_object_cache<-codegen:wrapper,0.0,0.0
prange,executionengine:target_data<-codegen:_init,0.0,0.0
prange,module:global_variables<-codegen:_init,0.0,0.0
prange,targets:name<-codegen:_customize_tm_options,0.0,0.0
prange,module:_dispose<-codegen:_init,0.0,0.0
prange,initfini:initialize_native_asmprinter<-codegen:initialize_llvm,0.0,0.0
prange,TOTAL_holds,112.97,0.85
prange,RECORDED_pass_timings,37.98,0.3
