module,self_ms,self_std
numba.core.fastmathpass,0.087,0.033
numpy._core._dtype,0.086,0.005
importlib.resources._legacy,0.086,0.002
copy,0.086,0.004
numpy._core.memmap,0.085,0.003
numpy.random._sfc64,0.085,0.004
numpy.random,0.084,0.001
numba.core.typing.asnumbatype,0.084,0.0
numba.core.runtime._nrt_python,0.083,0.002
numba.core.decorators,0.083,0.003
llvmlite.binding.initfini,0.082,0.002
numba.core.datamodel,0.082,0.002
numba.core.consts,0.081,0.003
numba.core.datamodel.manager,0.081,0.002
heapq,0.081,0.003
numba._version,0.08,0.003
numba.np.types,0.08,0.001
numba.misc.special,0.079,0.001
numba.np.ufunc.ufunc_base,0.079,0.002
reprlib,0.078,0.003
_json,0.078,0.003
numpy.lib._arrayterator_impl,0.077,0.002
numba.core.environment,0.077,0.003
collections.abc,0.076,0.003
copyreg,0.075,0.001
numpy.version,0.075,0.002
llvmlite.binding.analysis,0.074,0.001
linecache,0.073,0.002
numpy.linalg,0.073,0.003
numba.cloudpickle,0.073,0.002
secrets,0.072,0.001
numba.core.runtime.nrtdynmod,0.072,0.002
numpy._pytesttester,0.071,0.002
llvmlite,0.071,0.002
numba.misc.firstlinefinder,0.071,0.002
numba.core.compiler_lock,0.071,0.002
io,0.07,0.002
numba.core.typeconv._typeconv,0.07,0.003
numba.parfors.ir_utils,0.07,0.001
numba.parfors,0.07,0.001
importlib.metadata._text,0.07,0.001
numpy.matrixlib,0.069,0.003
fnmatch,0.069,0.002
numba.misc.inspection,0.069,0.002
numpy.lib.format,0.068,0.007
numba.core.intrinsics,0.068,0.002
quopri,0.068,0.002
numba.extending,0.067,0.001
numba.core.entrypoints,0.067,0.002
numba.np.npdatetime_helpers,0.066,0.002
numba.cpython.unsafe,0.066,0.002
numba.experimental.jitclass._box,0.066,0.003
importlib,0.065,0.002
numpy._core._asarray,0.065,0.003
numpy._array_api_info,0.065,0.002
numba._dynfunc,0.065,0.006
numba.core.rewrites.static_raise,0.064,0.002
importlib._abc,0.063,0.005
llvmlite.binding.linker,0.063,0.002
numba.core.sigutils,0.063,0.001
numpy._core._dtype_ctypes,0.062,0.001
struct,0.061,0.003
importlib.util,0.061,0.001
numba.core.unsafe,0.061,0.003
numpy.lib._version,0.06,0.001
bisect,0.06,0.003
llvmlite.ir.context,0.06,0.005
email,0.06,0.003
sitecustomize,0.059,0.002
_datetime,0.059,0.004
llvmlite.binding.options,0.059,0.001
numba.core.typeconv,0.059,0.001
numpy._utils,0.058,0.001
numpy._typing._nbit,0.058,0.001
numba.core.rewrites.ir_print,0.058,0.002
numba.core.llvm_bindings,0.058,0.001
email.encoders,0.058,0.004
abc,0.057,0.002
importlib.readers,0.057,0.003
llvmlite._version,0.056,0.0
numpy._distributor_init,0.055,0.003
_pickle,0.055,0.001
zipfile._path.glob,0.055,0.001
numba.core.descriptors,0.055,0.002
_contextvars,0.054,0.002
numba.experimental.jitclass.decorators,0.054,0.001
numba.typed,0.054,0.001
keyword,0.053,0.003
numpy._core._string_helpers,0.053,0.002
llvmlite.binding.common,0.053,0.001
numba._devicearray,0.053,0.005
email.base64mime,0.053,0.001
email.iterators,0.053,0.001
numba.np.ufunc.sigparse,0.053,0.002
numba.experimental,0.053,0.002
numpy._utils._convertions,0.052,0.003
numba.core.rewrites.static_binop,0.052,0.001
_signal,0.051,0.002
numpy._typing._scalars,0.051,0.001
numba.core.runtime,0.051,0.0
numba.core.annotations,0.051,0.002
numpy._expired_attrs_2_0,0.05,0.001
contextvars,0.05,0.002
re._casefix,0.049,0.002
numpy._core.printoptions,0.049,0.002
numpy.lib.array_utils,0.049,0.001
numba.core,0.049,0.003
numba.np,0.049,0.001
numba.misc,0.048,0.0
zipimport,0.047,0.003
urllib,0.047,0.001
numba.core.typing,0.047,0.002
importlib.metadata._itertools,0.046,0.003
numpy.lib._array_utils_impl,0.045,0.0
numba.stencils,0.045,0.003
binascii,0.044,0.003
numba.cpython,0.044,0.001
numpy._typing._shape,0.043,0.001
llvmlite.utils,0.043,0.003
importlib.resources._itertools,0.043,0.001
array,0.042,0.002
time,0.041,0.002
numpy.lib.scimath,0.041,0.002
numba.core.datamodel.registry,0.041,0.001
_locale,0.041,0.001
importlib.metadata._functools,0.041,0.002
posixpath,0.04,0.002
numpy.lib.npyio,0.04,0.003
zlib,0.04,0.0
numpy._typing._ufunc,0.039,0.001
numpy.lib.introspect,0.039,0.001
_struct,0.038,0.002
colorama,0.038,0.001
numpy.lib.stride_tricks,0.037,0.001
_sre,0.035,0.003
scipy,0.034,0.001
yaml,0.034,0.001
_sitebuiltins,0.033,0.001
_operator,0.033,0.001
math,0.033,0.002
importlib.machinery,0.033,0.001
_winapi,0.033,0.001
stat,0.032,0.004
_collections,0.032,0.0
errno,0.032,0.0
_uuid,0.032,0.001
genericpath,0.031,0.015
_csv,0.031,0.001
_wmi,0.029,0.001
coverage,0.028,0.001
select,0.028,0.001
_blake2,0.027,0.001
_functools,0.025,0.001
apport_python_hook,0.025,0.001
_typing,0.023,0.001
gc,0.023,0.002
_codecs,0.022,0.001
_tokenize,0.021,0.002
_opcode,0.02,0.001
_sha2,0.02,0.001
_heapq,0.02,0.001
_stat,0.019,0.001
nt,0.019,0.002
_bisect,0.019,0.0
_string,0.019,0.001
marshal,0.017,0.001
atexit,0.017,0.001
numpy._distributor_init_local,0.016,0.002
_random,0.016,0.001
_abc,0.015,0.001
